Edition, Version, MainAddr, BackAddr, Port
java, v1.21.x (1.21.1以上)**   ※推奨 v1.12.4 ≦, 0.tcp.jp.ngrok.io:12398, star.ssnetwork.io:43240, 
bedrock, 最新, cool.ssnetwork.io, , 47810
